Site_ID,z,area_m,volume_m3
JC-SW,1.25,3589,5586.037679672241
JC-SW,1.26,3589,5621.927679672247
JC-SW,1.27,3589,5657.81767967224
JC-SW,1.28,3589,5693.707679672245
JC-SW,1.29,3589,5729.597679672238
JC-SW,1.3,3589,5765.487679672244
JC-SW,1.31,3589,5801.377679672237
JC-SW,1.32,3589,5837.267679672243
JC-SW,1.33,3589,5873.157679672235
JC-SW,1.34,3589,5909.0476796722405
JC-SW,1.35,3589,5944.937679672246
JC-SW,1.36,3589,5980.827679672239
JC-SW,1.37,3589,6016.717679672245
JC-SW,1.3800000000000001,3589,6052.607679672237
JC-SW,1.3900000000000001,3589,6088.497679672243
JC-SW,1.4000000000000001,3589,6124.387679672236
JC-SW,1.41,3589,6160.277679672242
JC-SW,1.42,3589,6196.167679672248
JC-SW,1.43,3589,6232.05767967224
JC-SW,1.44,3589,6267.947679672246
JC-SW,1.45,3589,6303.837679672239
JC-SW,1.46,3589,6339.727679672244
JC-SW,1.47,3589,6375.6176796722375
JC-SW,1.48,3589,6411.507679672242
JC-SW,1.49,3589,6447.397679672235
JC-SW,1.5,3589,6483.287679672241
JC-SW,1.51,3589,6519.177679672247
JC-SW,1.52,3589,6555.06767967224
JC-SW,1.53,3589,6590.957679672245
JC-SW,1.54,3589,6626.847679672238
JC-SW,1.55,3589,6662.737679672244
JC-SW,1.56,3589,6698.627679672237
JC-SW,1.57,3589,6734.517679672243
JC-SW,1.58,3589,6770.407679672235
JC-SW,1.59,3589,6806.2976796722405
JC-SW,1.6,3589,6842.187679672246
JC-SW,1.61,3589,6878.077679672239
JC-SW,1.62,3589,6913.967679672245
JC-SW,1.6300000000000001,3589,6949.857679672237
JC-SW,1.6400000000000001,3589,6985.747679672243
JC-SW,1.6500000000000001,3589,7021.637679672236
JC-SW,1.6600000000000001,3589,7057.527679672242
JC-SW,1.67,3589,7093.417679672248
JC-SW,1.68,3589,7129.30767967224
JC-SW,1.69,3589,7165.197679672246
JC-SW,1.7,3589,7201.087679672239
JC-SW,1.71,3589,7236.977679672244
JC-SW,1.72,3589,7272.8676796722375
JC-SW,1.73,3589,7308.757679672242
JC-SW,1.74,3589,7344.647679672235
JC-SW,1.75,3589,7380.537679672241
JC-SW,1.76,3589,7416.427679672247
JC-SW,1.77,3589,7452.31767967224
JC-SW,1.78,3589,7488.207679672245
JC-SW,1.79,3589,7524.097679672238
JC-SW,1.8,3589,7559.987679672244
JC-SW,1.81,3589,7595.877679672237
JC-SW,1.82,3589,7631.767679672243
JC-SW,1.83,3589,7667.657679672235
JC-SW,1.84,3589,7703.5476796722405
JC-SW,1.85,3589,7739.437679672246
JC-SW,1.86,3589,7775.327679672239
JC-SW,1.87,3589,7811.217679672245
JC-SW,1.8800000000000001,3589,7847.107679672237
JC-SW,1.8900000000000001,3589,7882.997679672243
JC-SW,1.9000000000000001,3589,7918.887679672236
JC-SW,1.9100000000000001,3589,7954.777679672242
JC-SW,1.92,3589,7990.667679672248
JC-SW,1.93,3589,8026.55767967224
JC-SW,1.94,3589,8062.447679672246
JC-SW,1.95,3589,8098.337679672239
JC-SW,1.96,3589,8134.227679672244
JC-SW,1.97,3589,8170.1176796722375
JC-SW,1.98,3589,8206.007679672242
JC-SW,1.99,3589,8241.897679672236
JC-SW,2,3589,8277.787679672241
JB-SW,0,1,0
JB-SW,0.01,3,0.03816345214844219
JB-SW,0.02,6,0.17413818359374744
JB-SW,0.03,12,0.5642465209961074
JB-SW,0.04,26,1.7323389434814231
JB-SW,0.05,65,5.710666656494187
JB-SW,0.06,150,16.187673568725394
JB-SW,0.07,277,34.86657585144051
JB-SW,0.08,422,60.11399627685475
JB-SW,0.09,581,92.11596397399894
JB-SW,0.1,727,126.38806076049909
JB-SW,0.11,854,160.97987884521436
JB-SW,0.12,954,192.97477958679295
JB-SW,0.13,1030,221.8679546356191
JB-SW,0.14,1091,248.89688514709536
JB-SW,0.15,1133,272.1707717895492
JB-SW,0.16,1171,295.4973291015627
JB-SW,0.17,1198,316.2505456542989
JB-SW,0.18,1239,342.8161997985836
JB-SW,0.19,1282,371.34818847656413
JB-SW,0.2,1313,396.4047351837149
JB-SW,0.21,1344,422.38286231994744
JB-SW,0.22,1390,455.8738162994369
JB-SW,0.23,1424,485.2502474975592
JB-SW,0.24,1475,523.7265167236305
JB-SW,0.25,1529,565.2564907073975
JB-SW,0.26,1591,612.4603520965601
JB-SW,0.27,1652,661.035414733886
JB-SW,0.28,1703,705.8809622192402
JB-SW,0.29,1752,751.0900193023667
JB-SW,0.3,1803,798.9617294311536
JB-SW,0.31,1872,859.4277499389625
JB-SW,0.32,1926,912.4118731689458
JB-SW,0.33,1975,963.7518749237026
JB-SW,0.34,2022,1015.2051987457272
JB-SW,0.35000000000000003,2075,1072.257749557498
JB-SW,0.36,2124,1128.0691076660144
JB-SW,0.37,2162,1177.2058653259298
JB-SW,0.38,2223,1244.932272186277
JB-SW,0.39,2272,1305.1473561096204
JB-SW,0.4,2315,1362.0775337219206
JB-SW,0.41000000000000003,2358,1420.2744152832036
JB-SW,0.42,2418,1493.9201989746134
JB-SW,0.43,2468,1560.8454534912103
JB-SW,0.44,2504,1617.01780296326
JB-SW,0.45,2551,1684.1477252960187
JB-SW,0.46,2609,1762.7200609588645
JB-SW,0.47000000000000003,2653,1829.960760269162
JB-SW,0.48,2716,1916.6548821258557
JB-SW,0.49,2772,1998.4119198608355
JB-SW,0.5,2835,2088.81827545166
JB-SW,0.51,2885,2167.928910827641
JB-SW,0.52,2959,2273.368247680663
JB-SW,0.53,3026,2373.63035324097
JB-SW,0.54,3094,2476.985765228269
JB-SW,0.55,3160,2580.199932098391
JB-SW,0.56,3205,2661.9635818481406
JB-SW,0.5700000000000001,3272,2770.0878229522714
JB-SW,0.58,3322,2860.5293290710392
JB-SW,0.59,3361,2939.555399169921
JB-SW,0.6,3410,3031.7246437072804
JB-SW,0.61,3437,3098.61911804199
JB-SW,0.62,3463,3165.0769181823766
JB-SW,0.63,3492,3236.0835389709437
JB-SW,0.64,3516,3301.63206504822
JB-SW,0.65,3540,3367.838830947871
JB-SW,0.66,3554,3421.66427482605
JB-SW,0.67,3570,3478.565460586554
JB-SW,0.68,3575,3521.0419082641592
JB-SW,0.6900000000000001,3581,3565.040320053105
JB-SW,0.7000000000000001,3583,3603.645848846433
JB-SW,0.71,3588,3646.5540394592317
JB-SW,0.72,3589,3683.867679672237
JB-SW,0.73,3589,3719.757679672243
JB-SW,0.74,3589,3755.6476796722354
JB-SW,0.75,3589,3791.537679672241
JB-SW,0.76,3589,3827.427679672247
JB-SW,0.77,3589,3863.3176796722396
JB-SW,0.78,3589,3899.2076796722454
JB-SW,0.79,3589,3935.097679672238
JB-SW,0.8,3589,3970.9876796722438
JB-SW,0.81,3589,4006.877679672237
JB-SW,0.8200000000000001,3589,4042.767679672242
JB-SW,0.8300000000000001,3589,4078.657679672235
JB-SW,0.84,3589,4114.5476796722405
JB-SW,0.85,3589,4150.437679672246
JB-SW,0.86,3589,4186.327679672239
JB-SW,0.87,3589,4222.217679672245
JB-SW,0.88,3589,4258.107679672237
JB-SW,0.89,3589,4293.997679672243
JB-SW,0.9,3589,4329.887679672236
JB-SW,0.91,3589,4365.777679672242
JB-SW,0.92,3589,4401.667679672248
JB-SW,0.93,3589,4437.55767967224
JB-SW,0.9400000000000001,3589,4473.447679672246
JB-SW,0.9500000000000001,3589,4509.337679672239
JB-SW,0.96,3589,4545.227679672244
JB-SW,0.97,3589,4581.1176796722375
JB-SW,0.98,3589,4617.007679672242
JB-SW,0.99,3589,4652.897679672235
JB-SW,1,3589,4688.787679672241
JB-SW,1.01,3589,4724.677679672247
JB-SW,1.02,3589,4760.56767967224
JB-SW,1.03,3589,4796.457679672245
JB-SW,1.04,3589,4832.347679672238
JB-SW,1.05,3589,4868.237679672244
JB-SW,1.06,3589,4904.127679672237
JB-SW,1.07,3589,4940.017679672243
JB-SW,1.08,3589,4975.907679672235
JB-SW,1.09,3589,5011.7976796722405
JB-SW,1.1,3589,5047.687679672246
JB-SW,1.11,3589,5083.577679672239
JB-SW,1.12,3589,5119.467679672245
JB-SW,1.1300000000000001,3589,5155.357679672237
JB-SW,1.1400000000000001,3589,5191.247679672243
JB-SW,1.1500000000000001,3589,5227.137679672236
JB-SW,1.16,3589,5263.027679672242
JB-SW,1.17,3589,5298.917679672248
JB-SW,1.18,3589,5334.80767967224
JB-SW,1.19,3589,5370.697679672246
JB-SW,1.2,3589,5406.587679672239
JB-SW,1.21,3589,5442.477679672244
JB-SW,1.22,3589,5478.3676796722375
JB-SW,1.23,3589,5514.257679672242
JB-SW,1.24,3589,5550.147679672235
JB-SW,1.25,3589,5586.037679672241
JB-SW,1.26,3589,5621.927679672247
JB-SW,1.27,3589,5657.81767967224
JB-SW,1.28,3589,5693.707679672245
JB-SW,1.29,3589,5729.597679672238
JB-SW,1.3,3589,5765.487679672244
JB-SW,1.31,3589,5801.377679672237
JB-SW,1.32,3589,5837.267679672243
JB-SW,1.33,3589,5873.157679672235
JB-SW,1.34,3589,5909.0476796722405
JB-SW,1.35,3589,5944.937679672246
JB-SW,1.36,3589,5980.827679672239
JB-SW,1.37,3589,6016.717679672245
JB-SW,1.3800000000000001,3589,6052.607679672237
JB-SW,1.3900000000000001,3589,6088.497679672243
JB-SW,1.4000000000000001,3589,6124.387679672236
JB-SW,1.41,3589,6160.277679672242
JB-SW,1.42,3589,6196.167679672248
JB-SW,1.43,3589,6232.05767967224
JB-SW,1.44,3589,6267.947679672246
JB-SW,1.45,3589,6303.837679672239
JB-SW,1.46,3589,6339.727679672244
JB-SW,1.47,3589,6375.6176796722375
JB-SW,1.48,3589,6411.507679672242
JB-SW,1.49,3589,6447.397679672235
JB-SW,1.5,3589,6483.287679672241
JB-SW,1.51,3589,6519.177679672247
JB-SW,1.52,3589,6555.06767967224
JB-SW,1.53,3589,6590.957679672245
JB-SW,1.54,3589,6626.847679672238
JB-SW,1.55,3589,6662.737679672244
JB-SW,1.56,3589,6698.627679672237
JB-SW,1.57,3589,6734.517679672243
JB-SW,1.58,3589,6770.407679672235
JB-SW,1.59,3589,6806.2976796722405
JB-SW,1.6,3589,6842.187679672246
JB-SW,1.61,3589,6878.077679672239
JB-SW,1.62,3589,6913.967679672245
JB-SW,1.6300000000000001,3589,6949.857679672237
JB-SW,1.6400000000000001,3589,6985.747679672243
JB-SW,1.6500000000000001,3589,7021.637679672236
