Site_ID,z,area_m,volume_m3
JC-SW,1.25,3702,5789.4659214019775
JB-SW,0,1,0
JB-SW,0.01,3,0.03816345214844219
JB-SW,0.02,6,0.17413818359374744
JB-SW,0.03,12,0.5642465209961074
JB-SW,0.04,26,1.7323389434814231
JB-SW,0.05,65,5.710666656494187
JB-SW,0.06,150,16.187673568725394
JB-SW,0.07,277,34.86657585144051
JB-SW,0.08,422,60.11399627685475
JB-SW,0.09,581,92.11596397399894
JB-SW,0.1,727,126.38806076049909
JB-SW,0.11,854,160.97987884521436
JB-SW,0.12,954,192.97477958679295
JB-SW,0.13,1030,221.8679546356191
JB-SW,0.14,1091,248.89688514709536
JB-SW,0.15,1133,272.1707717895492
JB-SW,0.16,1171,295.4973291015627
JB-SW,0.17,1198,316.2505456542989
JB-SW,0.18,1239,342.8161997985836
JB-SW,0.19,1282,371.34818847656413
JB-SW,0.2,1313,396.4047351837149
JB-SW,0.21,1344,422.38286231994744
JB-SW,0.22,1390,455.8738162994369
JB-SW,0.23,1424,485.2502474975592
JB-SW,0.24,1475,523.7265167236305
JB-SW,0.25,1529,565.2564907073975
JB-SW,0.26,1591,612.4603520965601
JB-SW,0.27,1652,661.035414733886
JB-SW,0.28,1703,705.8809622192402
JB-SW,0.29,1752,751.0900193023667
JB-SW,0.3,1803,798.9617294311536
JB-SW,0.31,1872,859.4277499389625
JB-SW,0.32,1926,912.4118731689458
JB-SW,0.33,1975,963.7518749237026
JB-SW,0.34,2022,1015.2051987457272
JB-SW,0.35000000000000003,2075,1072.257749557498
JB-SW,0.36,2124,1128.0691076660144
JB-SW,0.37,2162,1177.2058653259298
JB-SW,0.38,2223,1244.932272186277
JB-SW,0.39,2272,1305.1473561096204
JB-SW,0.4,2315,1362.0775337219206
JB-SW,0.41000000000000003,2358,1420.2744152832036
JB-SW,0.42,2418,1493.9201989746134
JB-SW,0.43,2468,1560.8454534912103
JB-SW,0.44,2504,1617.01780296326
JB-SW,0.45,2551,1684.1477252960187
JB-SW,0.46,2609,1762.7200609588645
JB-SW,0.47000000000000003,2653,1829.960760269162
JB-SW,0.48,2716,1916.6548821258557
JB-SW,0.49,2772,1998.4119198608355
JB-SW,0.5,2836,2089.8158416748047
JB-SW,0.51,2888,2170.964928512578
JB-SW,0.52,2962,2276.4342653655995
JB-SW,0.53,3033,2380.9342615509067
JB-SW,0.54,3109,2492.9551309204076
JB-SW,0.55,3185,2607.2663040161156
JB-SW,0.56,3246,2707.1146905517535
JB-SW,0.5700000000000001,3335,2840.607276153565
JB-SW,0.58,3400,2949.008016586298
JB-SW,0.59,3457,3049.9616822052
JB-SW,0.6,3527,3168.1630908966113
JB-SW,0.61,3560,3243.518155670164
JB-SW,0.62,3600,3328.4815864563025
JB-SW,0.63,3633,3405.898446121212
JB-SW,0.64,3658,3474.090756530764
JB-SW,0.65,3677,3535.253544616694
JB-SW,0.66,3684,3581.2222780609136
JB-SW,0.67,3693,3630.0578160858217
JB-SW,0.68,3697,3672.4139737701407
JB-SW,0.6900000000000001,3698,3710.7555361938525
JB-SW,0.7000000000000001,3699,3749.1305912017797
JB-SW,0.71,3701,3788.9505967712435
JB-SW,0.72,3701,3825.960596771236
JB-SW,0.73,3702,3864.425921401979
JB-SW,0.74,3702,3901.4459214019716
JB-SW,0.75,3702,3938.4659214019775
JB-SW,0.76,3702,3975.4859214019834
JB-SW,0.77,3702,4012.505921401976
JB-SW,0.78,3702,4049.5259214019816
JB-SW,0.79,3702,4086.5459214019743
JB-SW,0.8,3702,4123.56592140198
JB-SW,0.81,3702,4160.585921401973
JB-SW,0.8200000000000001,3702,4197.605921401979
JB-SW,0.8300000000000001,3702,4234.625921401971
JB-SW,0.84,3702,4271.645921401977
JB-SW,0.85,3702,4308.665921401983
JB-SW,0.86,3702,4345.685921401975
JB-SW,0.87,3702,4382.705921401981
JB-SW,0.88,3702,4419.725921401974
JB-SW,0.89,3702,4456.74592140198
JB-SW,0.9,3702,4493.765921401972
JB-SW,0.91,3702,4530.785921401978
JB-SW,0.92,3702,4567.805921401984
JB-SW,0.93,3702,4604.825921401976
JB-SW,0.9400000000000001,3702,4641.845921401982
JB-SW,0.9500000000000001,3702,4678.865921401975
JB-SW,0.96,3702,4715.88592140198
JB-SW,0.97,3702,4752.9059214019735
JB-SW,0.98,3702,4789.925921401979
JB-SW,0.99,3702,4826.945921401972
JB-SW,1,3702,4863.9659214019775
JB-SW,1.01,3702,4900.985921401983
JB-SW,1.02,3702,4938.005921401976
JB-SW,1.03,3702,4975.025921401982
JB-SW,1.04,3702,5012.045921401975
JB-SW,1.05,3702,5049.06592140198
